":START_ID",":END_ID","is_corresponding:boolean",":TYPE"
"author_Zakariae_El_Asri","conf/rlc/AsriST24","True","WRITE"
"author_Olivier_Sigaud","conf/rlc/AsriST24","False","WRITE"
"author_Nicolas_Thome","conf/rlc/AsriST24","False","WRITE"
"author_Jacob_Beck","conf/rlc/BeckJVXW24","True","WRITE"
"author_Matthew_Thomas_Jackson","conf/rlc/BeckJVXW24","False","WRITE"
"author_Risto_Vuorio","conf/rlc/BeckJVXW24","False","WRITE"
"author_Zheng_Xiong","conf/rlc/BeckJVXW24","False","WRITE"
"author_Shimon_Whiteson","conf/rlc/BeckJVXW24","False","WRITE"
"author_Lopold_Mayti","conf/rlc/MaytieDAV24","True","WRITE"
"author_Benjamin_Devillers","conf/rlc/MaytieDAV24","False","WRITE"
"author_Alexandre_Arnold","conf/rlc/MaytieDAV24","False","WRITE"
"author_Rufin_VanRullen","conf/rlc/MaytieDAV24","False","WRITE"
"author_Timon_Willi","conf/rlc/WilliOFDC24","True","WRITE"
"author_Johan_Samir_Obando-Ceron","conf/rlc/WilliOFDC24","False","WRITE"
"author_Jakob_Nicolaus_Foerster","conf/rlc/WilliOFDC24","False","WRITE"
"author_Gintare_Karolina_Dziugaite","conf/rlc/WilliOFDC24","False","WRITE"
"author_Pablo_Samuel_Castro","conf/rlc/WilliOFDC24","False","WRITE"
"author_Haque_Ishfaq","conf/rlc/IshfaqT0LLMP024","True","WRITE"
"author_Yixin_Tan","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_Yu_Yang_0001","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_Qingfeng_Lan","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_Jianfeng_Lu","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_A._Rupam_Mahmood","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_Doina_Precup","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_Pan_Xu_0002","conf/rlc/IshfaqT0LLMP024","False","WRITE"
"author_Edan_Meyer","conf/rlc/Meyer0M24","True","WRITE"
"author_Adam_White_0001","conf/rlc/Meyer0M24","False","WRITE"
"author_Marlos_C._Machado","conf/rlc/Meyer0M24","False","WRITE"
"author_Nan_Jiang_0012","conf/rlc/0012LX24","True","WRITE"
"author_Jinzhao_Li","conf/rlc/0012LX24","False","WRITE"
"author_Yexiang_Xue","conf/rlc/0012LX24","False","WRITE"
"author_Philipp_Becker","conf/rlc/BeckerMON24","True","WRITE"
"author_Sebastian_Mossburger","conf/rlc/BeckerMON24","False","WRITE"
"author_Fabian_Otto","conf/rlc/BeckerMON24","False","WRITE"
"author_Gerhard_Neumann","conf/rlc/BeckerMON24","False","WRITE"
"author_Cyrus_Cousins","conf/rlc/CousinsAL024","True","WRITE"
"author_Kavosh_Asadi","conf/rlc/CousinsAL024","False","WRITE"
"author_Elita_A._Lobo","conf/rlc/CousinsAL024","False","WRITE"
"author_Michael_Littman_0002","conf/rlc/CousinsAL024","False","WRITE"
"author_Yixuan_Zhang","conf/rlc/ZhangX24","True","WRITE"
"author_Qiaomin_Xie","conf/rlc/ZhangX24","False","WRITE"
"author_Claas_Voelcker","conf/rlc/VoelckerKGF24","True","WRITE"
"author_Tyler_Kastner","conf/rlc/VoelckerKGF24","False","WRITE"
"author_Igor_Gilitschenski","conf/rlc/VoelckerKGF24","False","WRITE"
"author_Amir-massoud_Farahmand","conf/rlc/VoelckerKGF24","False","WRITE"
"author_Yu_Luo","conf/rlc/Luo0JZ24","True","WRITE"
"author_Fuchun_Sun_0001","conf/rlc/Luo0JZ24","False","WRITE"
"author_Tianying_Ji","conf/rlc/Luo0JZ24","False","WRITE"
"author_Xianyuan_Zhan","conf/rlc/Luo0JZ24","False","WRITE"
"author_Connor_Mattson","conf/rlc/MattsonAB24","True","WRITE"
"author_Anurag_Aribandi","conf/rlc/MattsonAB24","False","WRITE"
"author_Daniel_S._Brown","conf/rlc/MattsonAB24","False","WRITE"
"author_Aditya_Kapoor","conf/rlc/KapoorF0C24","True","WRITE"
"author_Benjamin_Freed","conf/rlc/KapoorF0C24","False","WRITE"
"author_Jeff_Schneider_0001","conf/rlc/KapoorF0C24","False","WRITE"
"author_Howie_Choset","conf/rlc/KapoorF0C24","False","WRITE"
"author_Emma_Cramer","conf/rlc/CramerFST24","True","WRITE"
"author_Bernd_Frauenknecht","conf/rlc/CramerFST24","False","WRITE"
"author_Ramil_Sabirov","conf/rlc/CramerFST24","False","WRITE"
"author_Sebastian_Trimpe","conf/rlc/CramerFST24","False","WRITE"
"author_Abdulaziz_Almuzairee","conf/rlc/Almuzairee0C24","True","WRITE"
"author_Nicklas_Hansen_0001","conf/rlc/Almuzairee0C24","False","WRITE"
"author_Henrik_I._Christensen","conf/rlc/Almuzairee0C24","False","WRITE"
"author_Christopher_K._Zeitler","conf/rlc/ZeitlerMMS024","True","WRITE"
"author_Kristina_Miller","conf/rlc/ZeitlerMMS024","False","WRITE"
"author_Sayan_Mitra","conf/rlc/ZeitlerMMS024","False","WRITE"
"author_John_Schierman","conf/rlc/ZeitlerMMS024","False","WRITE"
"author_Mahesh_Viswanathan_0001","conf/rlc/ZeitlerMMS024","False","WRITE"
"author_Gersi_Doko","conf/rlc/DokoYBP24","True","WRITE"
"author_Guang_Yang","conf/rlc/DokoYBP24","False","WRITE"
"author_Daniel_S._Brown","conf/rlc/DokoYBP24","False","WRITE"
"author_Marek_Petrik","conf/rlc/DokoYBP24","False","WRITE"
"author_Yudong_Luo","conf/rlc/LuoPW0P24","True","WRITE"
"author_Yangchen_Pan","conf/rlc/LuoPW0P24","False","WRITE"
"author_Han_Wang","conf/rlc/LuoPW0P24","False","WRITE"
"author_Philip_Torr_0001","conf/rlc/LuoPW0P24","False","WRITE"
"author_Pascal_Poupart","conf/rlc/LuoPW0P24","False","WRITE"
"author_He_Wang","conf/rlc/WangSC24","True","WRITE"
"author_Laixi_Shi","conf/rlc/WangSC24","False","WRITE"
"author_Yuejie_Chi","conf/rlc/WangSC24","False","WRITE"
"author_Gianluca_Drappo","conf/rlc/DrappoMR24","True","WRITE"
"author_Alberto_Maria_Metelli","conf/rlc/DrappoMR24","False","WRITE"
"author_Marcello_Restelli","conf/rlc/DrappoMR24","False","WRITE"
"author_Davide_Corsi","conf/rlc/CorsiARK0F24","True","WRITE"
"author_Guy_Amir","conf/rlc/CorsiARK0F24","False","WRITE"
"author_Andoni_Rodrguez","conf/rlc/CorsiARK0F24","False","WRITE"
"author_Guy_Katz","conf/rlc/CorsiARK0F24","False","WRITE"
"author_Csar_Snchez_0001","conf/rlc/CorsiARK0F24","False","WRITE"
"author_Roy_Fox","conf/rlc/CorsiARK0F24","False","WRITE"
"author_Kevin_Tan","conf/rlc/TanX24","True","WRITE"
"author_Ziping_Xu","conf/rlc/TanX24","False","WRITE"
"author_Kris_De_Asis","conf/rlc/AsisS24","True","WRITE"
"author_Richard_S._Sutton","conf/rlc/AsisS24","False","WRITE"
"author_Wanqiao_Xu","conf/rlc/Xu0R24","True","WRITE"
"author_Shi_Dong_0003","conf/rlc/Xu0R24","False","WRITE"
"author_Benjamin_Van_Roy","conf/rlc/Xu0R24","False","WRITE"
"author_Georgy_Antonov","conf/rlc/AntonovD24","True","WRITE"
"author_Peter_Dayan","conf/rlc/AntonovD24","False","WRITE"
"author_Julian_Dierkes","conf/rlc/DierkesCHT24","True","WRITE"
"author_Emma_Cramer","conf/rlc/DierkesCHT24","False","WRITE"
"author_Holger_H._Hoos","conf/rlc/DierkesCHT24","False","WRITE"
"author_Sebastian_Trimpe","conf/rlc/DierkesCHT24","False","WRITE"
"author_Sai_Prasanna","conf/rlc/PrasannaFRB24","True","WRITE"
"author_Karim_Farid","conf/rlc/PrasannaFRB24","False","WRITE"
"author_Raghu_Rajan","conf/rlc/PrasannaFRB24","False","WRITE"
"author_Andr_Biedenkapp","conf/rlc/PrasannaFRB24","False","WRITE"
"author_Jeremy_McMahan","conf/rlc/McMahanW0ZX24","True","WRITE"
"author_Young_Wu","conf/rlc/McMahanW0ZX24","False","WRITE"
"author_Yudong_Chen_0001","conf/rlc/McMahanW0ZX24","False","WRITE"
"author_Jerry_Zhu","conf/rlc/McMahanW0ZX24","False","WRITE"
"author_Qiaomin_Xie","conf/rlc/McMahanW0ZX24","False","WRITE"
"author_Khurram_Javed","conf/rlc/JavedSS24","True","WRITE"
"author_Arsalan_Sharifnassab","conf/rlc/JavedSS24","False","WRITE"
"author_Richard_S._Sutton","conf/rlc/JavedSS24","False","WRITE"
"author_Daphne_Cornelisse","conf/rlc/CornelisseV24","True","WRITE"
"author_Eugene_Vinitsky","conf/rlc/CornelisseV24","False","WRITE"
"author_Abhishek_Naik","conf/rlc/Naik0TS24","True","WRITE"
"author_Yi_Wan_0004","conf/rlc/Naik0TS24","False","WRITE"
"author_Manan_Tomar","conf/rlc/Naik0TS24","False","WRITE"
"author_Richard_S._Sutton","conf/rlc/Naik0TS24","False","WRITE"
"author_Milad_Aghajohari","conf/rlc/AghajohariCDAC24","True","WRITE"
"author_Tim_Cooijmans","conf/rlc/AghajohariCDAC24","False","WRITE"
"author_Juan_Agustin_Duque","conf/rlc/AghajohariCDAC24","False","WRITE"
"author_Shunichi_Akatsuka","conf/rlc/AghajohariCDAC24","False","WRITE"
"author_Aaron_C._Courville","conf/rlc/AghajohariCDAC24","False","WRITE"
"author_Marin_Vlastelica","conf/rlc/Vlastelica0MK24","True","WRITE"
"author_Jin_Cheng_0002","conf/rlc/Vlastelica0MK24","False","WRITE"
"author_Georg_Martius","conf/rlc/Vlastelica0MK24","False","WRITE"
"author_Pavel_Kolev","conf/rlc/Vlastelica0MK24","False","WRITE"
"author_James_Staley","conf/rlc/StaleySGS24","True","WRITE"
"author_Elaine_Short","conf/rlc/StaleySGS24","False","WRITE"
"author_Shivam_Goel","conf/rlc/StaleySGS24","False","WRITE"
"author_Yash_Shukla","conf/rlc/StaleySGS24","False","WRITE"
"author_Johan_Samir_Obando-Ceron","conf/rlc/Obando-CeronACC24","True","WRITE"
