entity,id
http://example.org/publication-ontology#author_Antoine_Archambault,117
http://example.org/publication-ontology#author_Anton_Donner,118
http://example.org/publication-ontology#author_Anton_Shapkin,119
http://example.org/publication-ontology#author_Antonia_Papandreou-Suppappola,120
http://example.org/publication-ontology#author_Antonia_Wachter-Zeh,121
http://example.org/publication-ontology#author_Antonin_Raffin,122
http://example.org/publication-ontology#author_Antonina_Aleksandrovna_Chechina,123
http://example.org/publication-ontology#author_Antonio_C._Caputo,124
http://example.org/publication-ontology#author_Antonio_Liotta,125
http://example.org/publication-ontology#author_Antonio_Plaza,126
http://example.org/publication-ontology#author_Anurag_Aribandi,127
http://example.org/publication-ontology#author_Arash_A._Amini,128
http://example.org/publication-ontology#author_Aravind_Rajeswaran,129
http://example.org/publication-ontology#author_Ardimas_Andi_Purwita,130
http://example.org/publication-ontology#author_Aristidis_Protopsaltis,131
http://example.org/publication-ontology#author_Arjun_Sharma,132
http://example.org/publication-ontology#author_Armin_Karamzade,133
http://example.org/publication-ontology#author_Arne_Hintz,134
http://example.org/publication-ontology#author_Arsalan_Sharifnassab,135
http://example.org/publication-ontology#author_Arthur_Flajolet,136
http://example.org/publication-ontology#author_Arunkumar_Chinnasamy,137
http://example.org/publication-ontology#author_Asaf_Shabtai,138
http://example.org/publication-ontology#author_Ascanio_Rosi,139
http://example.org/publication-ontology#author_Ashwin_Srinivasan_0001,140
http://example.org/publication-ontology#author_Asma_Rani,141
http://example.org/publication-ontology#author_Asmaa_Benzmane,142
http://example.org/publication-ontology#author_Assif_Assad,143
http://example.org/publication-ontology#author_Athanassia_Alonistioti,144
http://example.org/publication-ontology#author_Athman_Bouguettaya,145
http://example.org/publication-ontology#author_Atsushi_Mitsui,146
http://example.org/publication-ontology#author_Audrey_Huang,147
http://example.org/publication-ontology#author_Aurel_Machalek,148
http://example.org/publication-ontology#author_Aurghya_Maiti,149
http://example.org/publication-ontology#author_Aurick_Qiao,150
http://example.org/publication-ontology#author_Avanti_Bhandarkar,151
http://example.org/publication-ontology#author_Aviral_Kumar,152
http://example.org/publication-ontology#author_Avishek_Joey_Bose,153
http://example.org/publication-ontology#author_Axel_Krieger,154
http://example.org/publication-ontology#author_Aydin_Seer,155
http://example.org/publication-ontology#author_Ayoub_Jadouli,156
http://example.org/publication-ontology#author_Ayu_Purwarianti,157
http://example.org/publication-ontology#author_Babak_Rahbarinia,158
http://example.org/publication-ontology#author_Baiyong_Men,159
http://example.org/publication-ontology#author_Bander_A._Alzahrani,160
http://example.org/publication-ontology#author_Baodong_Xu,161
http://example.org/publication-ontology#author_Baoqun_Yin,162
http://example.org/publication-ontology#author_Barbara_E._Engelhardt,163
http://example.org/publication-ontology#author_Baris_E._Suzek,164
http://example.org/publication-ontology#author_Bart_Verheecke,165
http://example.org/publication-ontology#author_Benjamin_Devillers,166
http://example.org/publication-ontology#author_Benjamin_Ellis,167
http://example.org/publication-ontology#author_Benjamin_Freed,168
http://example.org/publication-ontology#author_Benjamin_M._Good,169
http://example.org/publication-ontology#author_Benjamin_Van_Roy,170
http://example.org/publication-ontology#author_Benoit_Huet,171
http://example.org/publication-ontology#author_Bernd_Frauenknecht,172
http://example.org/publication-ontology#author_Bin_Hu,173
http://example.org/publication-ontology#author_Bin_Liu_0022,174
http://example.org/publication-ontology#author_Bin_Wang,175
http://example.org/publication-ontology#author_Bing_Liu_0001,176
http://example.org/publication-ontology#author_Bjarne_Gregori,177
http://example.org/publication-ontology#author_Bjrn_E._Ottersten,178
http://example.org/publication-ontology#author_Bjrn_Ltjens,179
http://example.org/publication-ontology#author_Blai_Bonet,180
http://example.org/publication-ontology#author_Bo_Du_0008,181
http://example.org/publication-ontology#author_Bo_Markussen,182
http://example.org/publication-ontology#author_Bo_Peng,183
http://example.org/publication-ontology#author_Bo_Tang_0016,184
http://example.org/publication-ontology#author_Bo_Zhao,185
http://example.org/publication-ontology#author_Bojie_Rong,186
http://example.org/publication-ontology#author_Borja_Bordel_Snchez,187
http://example.org/publication-ontology#author_Boualem_Benatallah,188
http://example.org/publication-ontology#author_Boyu_Ji,189
http://example.org/publication-ontology#author_Brahim_Medjahed,190
http://example.org/publication-ontology#author_Bram_M._Renting,191
http://example.org/publication-ontology#author_Branka_Vucetic,192
http://example.org/publication-ontology#author_Brent_Hurst,193
http://example.org/publication-ontology#author_Brent_P._Krueger,194
http://example.org/publication-ontology#author_Brett_Daley,195
http://example.org/publication-ontology#author_Brett_W._Israelsen,196
http://example.org/publication-ontology#author_Brian_Argrow,197
http://example.org/publication-ontology#author_Brian_Lester,198
http://example.org/publication-ontology#author_Brian_Walenz,199
http://example.org/publication-ontology#author_Britta_Grimme,200
http://example.org/publication-ontology#author_Bruce_Cree,201
http://example.org/publication-ontology#author_Bruno_Castro_da_Silva,202
http://example.org/publication-ontology#author_Bryan_Chan,203
http://example.org/publication-ontology#author_C._C._Li,204
http://example.org/publication-ontology#author_C._T._Kelley,205
http://example.org/publication-ontology#author_Caleb_Chuck,206
http://example.org/publication-ontology#author_Cara_R._Touretzky,207
http://example.org/publication-ontology#author_Carl_P._Dettmann,208
http://example.org/publication-ontology#author_Carlo_D'Eramo,209
http://example.org/publication-ontology#author_Carlos_Barros_Vidaurre,210
http://example.org/publication-ontology#author_Casper_Lassenius,211
http://example.org/publication-ontology#author_Cassandra_Kent,212
http://example.org/publication-ontology#author_Cassidy_R._Sugimoto,213
http://example.org/publication-ontology#author_Catalina_Dobre,214
http://example.org/publication-ontology#author_Catherine_Ghaddar,215
http://example.org/publication-ontology#author_Catherine_Sulem,216
http://example.org/publication-ontology#author_Catholijn_M._Jonker,217
http://example.org/publication-ontology#author_Cathy_H._Wu,218
http://example.org/publication-ontology#author_Cem_Anil,219
http://example.org/publication-ontology#author_Cezary_Stankiewicz,220
http://example.org/publication-ontology#author_Chaitali_Chakrabarti,221
http://example.org/publication-ontology#author_Chaker_El_Amrani,222
http://example.org/publication-ontology#author_Chang-Ick_Song,223
http://example.org/publication-ontology#author_Chang_Liu_0041,224
http://example.org/publication-ontology#author_Changling_Li,225
http://example.org/publication-ontology#author_Changpin_Li,226
http://example.org/publication-ontology#author_Changwook_Kim,227
http://example.org/publication-ontology#author_Changyue_Wang,228
http://example.org/publication-ontology#author_Chao_Lei,229
