entity,id,cluster,x,y
http://example.org/publication-ontology#author_Moez_Ayadi,1065,3,-0.052540988,-0.15075278
http://example.org/publication-ontology#author_Mohamad_Al_Jazaery,1066,3,0.16663238,-0.06539667
http://example.org/publication-ontology#author_Mohamed_Elsayed_0003,1067,1,-0.32549322,-0.0800007
http://example.org/publication-ontology#author_Mohammad_Arif_Ul_Alam,1068,3,0.14120698,-0.09321523
http://example.org/publication-ontology#author_Mohammad_Dehghani_Soltani,1069,3,0.28664845,-0.13105023
http://example.org/publication-ontology#author_Ann_Now,107,2,-0.045677036,0.19866642
http://example.org/publication-ontology#author_Mohammad_Ghavamzadeh,1070,1,-0.31893575,-0.059232354
http://example.org/publication-ontology#author_Mohammad_Haft-Javaherian,1071,2,0.032162853,0.108400464
http://example.org/publication-ontology#author_Mohammad_Hossein_Refan,1072,1,-0.073647305,-0.10434407
http://example.org/publication-ontology#author_Mohammad_Iqbal_Nouyed,1073,3,0.16874355,-0.11884141
http://example.org/publication-ontology#author_Mohammad_J._Abdel-Rahman,1074,3,0.20843634,-0.10792279
http://example.org/publication-ontology#author_Mohammad_Javad_Azizi,1075,1,-0.25065118,-0.034203053
http://example.org/publication-ontology#author_Mohammud_Z._Bocus,1076,1,-0.19965903,-0.0044575334
http://example.org/publication-ontology#author_Monica_C._Munoz-Torres,1077,2,0.017199256,0.040233433
http://example.org/publication-ontology#author_Monica_Costea,1078,2,0.095877975,0.19929427
http://example.org/publication-ontology#author_Montek_Kalsi,1079,1,-0.32640493,-0.019167542
http://example.org/publication-ontology#author_Anna_Harutyunyan,108,1,-0.088229895,-0.13235295
http://example.org/publication-ontology#author_Morena_Celant,1080,3,0.26562634,-0.07598221
http://example.org/publication-ontology#author_Morgan_Ericsson,1081,2,-0.07687533,0.18780378
http://example.org/publication-ontology#author_Motoki_Omura,1082,1,-0.32921445,-0.11185002
http://example.org/publication-ontology#author_Muhammad_K._Dhodhi,1083,1,-0.22139601,-0.14263678
http://example.org/publication-ontology#author_Muhammad_Usama,1084,3,0.27718836,-0.103396535
http://example.org/publication-ontology#author_Murali_Annavaram,1085,3,0.1114182,-0.07163906
http://example.org/publication-ontology#author_Murti_V._Salapaka,1086,3,0.03646657,0.030817658
http://example.org/publication-ontology#author_Muslum_Ozisik,1087,3,0.17070198,-0.13756055
http://example.org/publication-ontology#author_Mustafa_Bayram,1088,3,0.15356047,-0.077300906
http://example.org/publication-ontology#author_Mustapha_Moufassih,1089,3,0.27152783,-0.1487894
http://example.org/publication-ontology#author_Anne-Katherine_Jasensky,109,2,0.055985935,0.11466724
http://example.org/publication-ontology#author_Muzafar_Rasool,1090,3,0.13673736,-0.09047252
http://example.org/publication-ontology#author_Mykel_J._Kochenderfer,1091,1,-0.3663571,0.008568406
http://example.org/publication-ontology#author_Myungyoon_Lee,1092,3,0.22755535,-0.03586483
http://example.org/publication-ontology#author_N._Guo,1093,2,0.12829226,0.011481047
http://example.org/publication-ontology#author_N._Patil,1094,1,-0.07410829,-0.1247834
