entity,id,cluster,x,y
http://example.org/publication-ontology#author_A._Pourmoghadas,15,3,0.06503834,-0.180224
http://example.org/publication-ontology#author_A._Rupam_Mahmood,16,2,-0.32543144,-0.032447815
http://example.org/publication-ontology#author_Aaron_C._Courville,17,2,-0.3725026,-0.07533747
http://example.org/publication-ontology#author_Aaron_Isaacs,18,0,0.1261234,-0.0330258
http://example.org/publication-ontology#author_Abdul_Haseeb_Ganie,19,3,0.118724465,-0.11895251
http://example.org/publication-ontology#author_Abdul_Mueed_Hafiz,20,3,0.25782412,0.011731446
http://example.org/publication-ontology#author_Abdulaziz_Almuzairee,21,2,-0.19346538,-0.016893148
http://example.org/publication-ontology#author_Abdullah_Almuhaimeed,22,0,-0.019902073,0.018527001
http://example.org/publication-ontology#author_Abdullah_Aman_Khan,23,3,-0.047912113,-0.15297055
http://example.org/publication-ontology#author_Abhilash_Nair,24,0,0.099773526,0.12304816
http://example.org/publication-ontology#author_Abhishek_Naik,25,2,-0.3222302,-0.079898715
http://example.org/publication-ontology#author_Achiel_Colpaert,26,3,0.29424015,-0.07873362
http://example.org/publication-ontology#author_Adam_Jelley,27,2,-0.28154716,-0.17355889
http://example.org/publication-ontology#author_Adam_Krzyzak,28,2,-0.30728936,-0.08909243
http://example.org/publication-ontology#author_Adam_Labiosa,29,2,-0.28791258,0.0073225796
http://example.org/publication-ontology#author_Adam_White_0001,30,2,-0.3063099,0.037152022
http://example.org/publication-ontology#author_Adam_Wierman,31,2,-0.24620643,-0.061146975
http://example.org/publication-ontology#author_Adams_Wei_Yu,32,0,0.003048703,0.036206633
http://example.org/publication-ontology#author_Adem_Kalinli,33,2,-0.18234465,-0.081255674
http://example.org/publication-ontology#author_Aditya_Kapoor,34,2,-0.31457007,-0.004999101
http://example.org/publication-ontology#author_Adrian_Fritz,35,3,0.27613175,-0.15419048
http://example.org/publication-ontology#author_Adriana_Hugessen,36,2,-0.33769292,-0.07406503
http://example.org/publication-ontology#author_Adrien_Bolland,37,2,-0.30154318,-0.08927238
http://example.org/publication-ontology#author_Afsaneh_Fazly,38,3,0.14871326,-0.013594687
http://example.org/publication-ontology#author_Agnes_C._Glsel,39,0,0.12752257,0.019274294
http://example.org/publication-ontology#author_Agnese_Innocenti,40,3,0.22288883,-0.09325951
http://example.org/publication-ontology#author_Ahmed_Fawzi_Otoom,41,3,0.006585717,-0.14582908
http://example.org/publication-ontology#author_Ahmed_K._Elmagarmid,42,2,-0.1937474,-0.0288198
http://example.org/publication-ontology#author_Ahmed_Zerouali,43,3,0.17821272,-0.0873515
http://example.org/publication-ontology#author_Ahmet_Duran,44,3,-0.031536244,-0.14904517
http://example.org/publication-ontology#author_Aihua_Wu_0003,45,3,0.027936324,-0.1729967
http://example.org/publication-ontology#author_Aiiad_Albeshri,46,3,0.09177446,-0.11171222
http://example.org/publication-ontology#author_Aijun_Liu_0001,47,0,0.02616714,0.08178109
http://example.org/publication-ontology#author_Ailing_Xiao,48,3,0.102310725,-0.10030383
http://example.org/publication-ontology#author_Akansha_Kalra,49,2,-0.33840224,-0.09065294
http://example.org/publication-ontology#author_Akira_Iwata,50,3,-0.041591488,-0.13594866
http://example.org/publication-ontology#author_Akshay_Raj_Dhamija,51,3,0.14558446,-0.12589073
http://example.org/publication-ontology#author_Alaa_El-deen_Hamouda,52,2,-0.34728685,-0.081561744
http://example.org/publication-ontology#author_Alain_Barrat,53,3,-0.02174624,-0.054933846
http://example.org/publication-ontology#author_Alberto_H._F._Laender,54,2,-0.26425916,0.017790407
http://example.org/publication-ontology#author_Alberto_Maria_Metelli,55,2,-0.3066166,-0.015593529
http://example.org/publication-ontology#author_Alborz_Geramifard,56,2,-0.35053626,-0.036447883
