"id:ID","name",":LABEL"
"author_Philipp_Becker","Philipp Becker","Author"
"author_Sebastian_Mossburger","Sebastian Mossburger","Author"
"author_Fabian_Otto","Fabian Otto","Author"
"author_Gerhard_Neumann","Gerhard Neumann","Author"
"author_Cyrus_Cousins","Cyrus Cousins","Author"
"author_Kavosh_Asadi","Kavosh Asadi","Author"
"author_Elita_A._Lobo","Elita A. Lobo","Author"
"author_Yixuan_Zhang","Yixuan Zhang","Author"
"author_Qiaomin_Xie","Qiaomin Xie","Author"
"author_Claas_Voelcker","Claas Voelcker","Author"
"author_Tyler_Kastner","Tyler Kastner","Author"
"author_Igor_Gilitschenski","Igor Gilitschenski","Author"
"author_Amir-massoud_Farahmand","Amir-massoud Farahmand","Author"
"author_Yu_Luo","Yu Luo","Author"
"author_Fuchun_Sun_0001","Fuchun Sun 0001","Author"
"author_Tianying_Ji","Tianying Ji","Author"
"author_Xianyuan_Zhan","Xianyuan Zhan","Author"
"author_Connor_Mattson","Connor Mattson","Author"
"author_Anurag_Aribandi","Anurag Aribandi","Author"
"author_Daniel_S._Brown","Daniel S. Brown","Author"
"author_Aditya_Kapoor","Aditya Kapoor","Author"
"author_Benjamin_Freed","Benjamin Freed","Author"
"author_Jeff_Schneider_0001","Jeff Schneider 0001","Author"
"author_Howie_Choset","Howie Choset","Author"
"author_Emma_Cramer","Emma Cramer","Author"
"author_Bernd_Frauenknecht","Bernd Frauenknecht","Author"
"author_Ramil_Sabirov","Ramil Sabirov","Author"
"author_Sebastian_Trimpe","Sebastian Trimpe","Author"
"author_Abdulaziz_Almuzairee","Abdulaziz Almuzairee","Author"
"author_Nicklas_Hansen_0001","Nicklas Hansen 0001","Author"
"author_Henrik_I._Christensen","Henrik I. Christensen","Author"
"author_Christopher_K._Zeitler","Christopher K. Zeitler","Author"
"author_Kristina_Miller","Kristina Miller","Author"
"author_Sayan_Mitra","Sayan Mitra","Author"
"author_John_Schierman","John Schierman","Author"
"author_Mahesh_Viswanathan_0001","Mahesh Viswanathan 0001","Author"
"author_Gersi_Doko","Gersi Doko","Author"
"author_Guang_Yang","Guang Yang","Author"
"author_Yudong_Luo","Yudong Luo","Author"
"author_Yangchen_Pan","Yangchen Pan","Author"
"author_Han_Wang","Han Wang","Author"
"author_Philip_Torr_0001","Philip Torr 0001","Author"
"author_Pascal_Poupart","Pascal Poupart","Author"
"author_He_Wang","He Wang","Author"
"author_Laixi_Shi","Laixi Shi","Author"
"author_Yuejie_Chi","Yuejie Chi","Author"
"author_Gianluca_Drappo","Gianluca Drappo","Author"
